Food code;Main food description;WWEIA Category number;WWEIA Category description;Energy;Protein;Carbohydrate;Total Fat;Calcium;Iron
91770060;Candy, non chocolate, sugar free;5704;Candy not containing chocolate;394;0;98,6;0;0;0
91801000;Chewing gum;5704;Candy not containing chocolate;360;0;96,7;0,3;0;0
91802000;Chewing gum, sugar free;5704;Candy not containing chocolate;268;0;94,8;0,4;20;0
92100000;Coffee, NS as to type;7302;Coffee;1;0,12;0;0,02;2;0,01
92100500;Coffee, NS as to brewed or instant;7302;Coffee;1;0,12;0;0,02;2;0,01
92101000;Coffee, brewed;7302;Coffee;1;0,12;0;0,02;2;0,01
92101500;Coffee, brewed, blend of regular and decaffeinated;7302;Coffee;0;0,11;0;0,01;2;0,03
92101600;Coffee, Turkish;7302;Coffee;27;0,11;6,47;0,04;2;0,01
92101610;Coffee, espresso;7302;Coffee;9;0,12;1,67;0,18;2;0,13
92101630;Coffee, espresso, decaffeinated;7302;Coffee;9;0,1;1,69;0,18;2;0,13
92101700;Coffee, brewed, flavored;7302;Coffee;1;0,12;0;0,02;2;0,01
92101800;Coffee, Cuban;7302;Coffee;34;0,11;7,84;0,19;2;0,12
92101810;Coffee, macchiato;7302;Coffee;23;1,18;2,71;0,83;43;0,09
92101820;Coffee, macchiato, sweetened;7302;Coffee;40;1,13;6,89;0,8;41;0,09
92101850;Coffee, cafe con leche;7302;Coffee;40;1,67;5,63;1,13;62;0,06
92101851;Coffee, cafe con leche, decaffeinated;7302;Coffee;40;1,69;5,7;1,15;63;0,06
92101900;Coffee, Latte;7302;Coffee;43;2,81;4,35;1,61;105;0,02
92101901;Coffee, Latte, nonfat;7302;Coffee;30;2,87;4,37;0,1;110;0,02
92101903;Coffee, Latte, with non-dairy milk;7302;Coffee;28;0,97;2,81;1,36;128;0,29
92101904;Coffee, Latte, flavored;7302;Coffee;55;2,72;7,49;1,57;102;0,02
92101905;Coffee, Latte, nonfat, flavored;7302;Coffee;42;2,78;7,51;0,1;106;0,02
92101906;Coffee, Latte, with non-dairy milk, flavored;7302;Coffee;40;0,94;5,99;1,33;123;0,28
92101910;Coffee, Latte, decaffeinated;7302;Coffee;43;2,82;4,37;1,62;106;0,02
92101911;Coffee, Latte, decaffeinated, nonfat;7302;Coffee;30;2,88;4,39;0,1;111;0,02
92101913;Coffee, Latte, decaffeinated, with non-dairy milk;7302;Coffee;28;0,97;2,82;1,37;128;0,29
92101917;Coffee, Latte, decaffeinated, flavored;7302;Coffee;55;2,73;7,53;1,57;102;0,02
92101918;Coffee, Latte, decaffeinated, nonfat, flavored;7302;Coffee;42;2,79;7,54;0,1;107;0,02
92101919;Coffee, Latte, decaffeinated, with non-dairy milk, flavored;7302;Coffee;40;0,94;6,01;1,33;124;0,28
92101920;Frozen coffee drink;7302;Coffee;68;1,56;13,4;0,93;59;0,03
92101921;Frozen coffee drink, nonfat;7302;Coffee;61;1,59;13,41;0,1;62;0,03
92101923;Frozen coffee drink, with non-dairy milk;7302;Coffee;60;0,54;12,53;0,8;71;0,17
92101925;Frozen coffee drink, with whipped cream;7302;Coffee;83;1,58;12,89;2,77;59;0,02
92101926;Frozen coffee drink, nonfat, with whipped cream;7302;Coffee;76;1,61;12,9;1,98;62;0,02
92101928;Frozen coffee drink, with non-dairy milk and whipped cream;7302;Coffee;75;0,62;12,06;2,64;71;0,16
92101930;Frozen coffee drink, decaffeinated;7302;Coffee;68;1,56;13,46;0,94;59;0,02
92101931;Frozen coffee drink, decaffeinated, nonfat;7302;Coffee;61;1,59;13,47;0,1;62;0,02
92101933;Frozen coffee drink, decaffeinated, with non-dairy milk;7302;Coffee;70;1,58;13,61;1;46;0,26
92101935;Frozen coffee drink, decaffeinated, with whipped cream;7302;Coffee;83;1,58;12,95;2,78;59;0,02
92101936;Frozen coffee drink, decaffeinated, nonfat, with whipped cream;7302;Coffee;76;1,62;12,96;1,99;62;0,02
92101938;Frozen coffee drink, decaffeinated, with non-dairy milk and whipped cream;7302;Coffee;80;1,26;12,94;2,59;58;0,21
92101950;Coffee, Cafe Mocha;7302;Coffee;64;2,56;10,22;1,47;96;0,02
92101955;Coffee, Cafe Mocha, nonfat;7302;Coffee;52;2,6;10,2;0,09;100;0,02
92101960;Coffee, Cafe Mocha, with non-dairy milk;7302;Coffee;50;0,88;8,76;1,24;116;0,26
92101965;Coffee, Cafe Mocha, decaffeinated;7302;Coffee;64;2,56;10,23;1,47;96;0,02
92101970;Coffee, Cafe Mocha, decaffeinated, nonfat;7302;Coffee;52;2,61;10,24;0,09;100;0,02
92101975;Coffee, Cafe Mocha, decaffeinated, with non-dairy milk;7302;Coffee;50;0,88;8,8;1,24;116;0,26
92102000;Frozen mocha coffee drink;7302;Coffee;66;1,51;13,07;0,88;57;0,02
92102010;Frozen mocha coffee drink, nonfat;7302;Coffee;59;1,54;13,08;0,08;60;0,02
92102020;Frozen mocha coffee drink, with non-dairy milk;7302;Coffee;58;0,52;12,22;0,75;69;0,16
92102030;Frozen mocha coffee drink, with whipped cream;7302;Coffee;81;1,54;12,59;2,67;57;0,02
92102040;Frozen mocha coffee drink, nonfat, with whipped cream;7302;Coffee;74;1,56;12,6;1,91;60;0,02
92102050;Frozen mocha coffee drink, with non-dairy milk and whipped cream;7302;Coffee;73;0,6;11,79;2,54;69;0,16
92102060;Frozen mocha coffee drink, decaffeinated;7302;Coffee;67;1,51;13,13;0,89;57;0,02
92102070;Frozen mocha coffee drink, decaffeinated, nonfat;7302;Coffee;59;1,54;13,14;0,08;60;0,02
